CodMun;Reeleito;sexo;idade;instrução;partido
1301704;Não;Masculino;54;Ensino superior completo ;PROS
1301803;Não;Feminino;48;Ensino médio (2º Grau) completo;PSDB
1301852;Não;Masculino;58;Ensino fundamental (1º Grau) incompleto;DEM
1301902;Não;Masculino;64;Ensino médio (2º Grau) completo;PT
1301951;Não;Masculino;47;Ensino superior completo ;DEM
1302009;Não;Feminino;39;Ensino superior completo ;PROS
1302108;Não;Feminino;53;Ensino superior completo ;PMDB
1302207;Não;Masculino;39;Ensino superior completo ;PMDB
1302306;Não;Masculino;36;Ensino superior incompleto ;PDT
1302405;Não;Masculino;40;Ensino médio (2º Grau) completo;PMDB
1302504;Não;Masculino;43;Ensino médio (2º Grau) completo;PROS
1302553;Não;Masculino;52;Ensino médio (2º Grau) incompleto;PMDB
1302603;Sim;Masculino;71;Pós-graduação;PSDB
1302702;Não;Masculino;55;Pós-graduação;PSD
1302801;Sim;Masculino;35;Ensino superior completo ;PMDB
1302900;Não;Masculino;36;Ensino superior incompleto ;PROS
1303007;Sim;Masculino;38;Ensino médio (2º Grau) completo;PROS
1303106;Não;Masculino;41;Pós-graduação;PMDB
1303205;Não;Masculino;54;Ensino médio (2º Grau) completo;PSDB
1303304;Não;Masculino;61;Ensino fundamental (1º Grau) incompleto;PSD
1303403;Não;Masculino;51;Ensino médio (2º Grau) completo;PSDB
1303502;Não;Feminino;61;Ensino superior completo ;PMDB
1303536;Não;Masculino;55;Ensino superior incompleto ;PDT
1303569;Não;Masculino;55;Ensino superior incompleto ;PROS
1303601;Não;Masculino;54;Ensino médio (2º Grau) completo;PMDB
1303700;Sim;Masculino;51;Ensino fundamental (1º Grau) incompleto;PSD
1303809;Não;Masculino;45;Ensino médio (2º Grau) completo;PT
1303908;Não;Masculino;57;Ensino médio (2º Grau) completo;PROS
1303957;Não;Masculino;72;Ensino superior incompleto ;PMDB
1304005;Não;Masculino;75;Ensino médio (2º Grau) completo;PMDB
1304062;Não;Masculino;61;Ensino médio (2º Grau) completo;PSD
1304104;Não;Masculino;49;Ensino superior incompleto ;PMDB
1304203;Não;Masculino;42;Ensino superior completo ;PMN
1304237;Não;Masculino;54;Ensino fundamental (1º Grau) incompleto;PP
1304260;Não;Masculino;45;Ensino médio (2º Grau) completo;PMN
1304302;Não;Masculino;38;Ensino superior completo ;PMDB
1304401;Não;Masculino;43;Ensino médio (2º Grau) completo;PT
1400027;Não;Feminino;46;Ensino superior completo ;PSC
1400050;Não;Masculino;22;Ensino superior incompleto ;PSD
1400100;Sim;Feminino;60;Pós-graduação;PMDB
1400159;Não;Masculino;43;Ensino médio (2º Grau) completo;PRTB
1400175;Não;Masculino;56;Ensino fundamental (1º Grau) completo;PSL
1400209;Não;Feminino;53;Ensino superior completo ;PROS
1400233;Não;Masculino;42;Ensino médio (2º Grau) completo;PSDB
1400282;Não;Masculino;41;Ensino superior completo ;PMDB
1400308;Não;Feminino;51;Ensino superior completo ;PR
1400407;Não;Masculino;53;Ensino médio (2º Grau) completo;PDT
1400456;Não;Feminino;36;Ensino médio (2º Grau) completo;PRB
1400472;Não;Masculino;34;Pós-graduação;PSD
1400506;Não;Masculino;41;Ensino fundamental (1º Grau) completo;PROS
1400605;Não;Masculino;37;Ensino superior incompleto ;PMDB
1400704;Não;Masculino;44;Ensino fundamental (1º Grau) incompleto;PP
1500107;Não;Masculino;49;Ensino superior completo ;PMDB
1500131;Não;Masculino;50;Ensino superior completo ;PP
1500206;Não;Feminino;34;Ensino superior completo ;PSDB
1500305;Não;Masculino;51;Ensino superior completo ;PSD
1500347;Não;Masculino;66;Ensino fundamental (1º Grau) incompleto;PSC
1500404;Não;Masculino;55;Ensino superior completo ;PPS
1500503;Não;Feminino;30;Pós-graduação;PR
1500602;Sim;Masculino;75;Ensino superior completo ;PMDB
1500701;Não;Feminino;49;Ensino superior completo ;PMB
1500800;Sim;Masculino;Não informou;Ensino superior completo ;PSDB
1500859;Não;Masculino;35;Ensino superior completo ;PSDB
1500909;Não;Masculino;48;Ensino médio (2º Grau) completo;DEM
1500958;Sim;Masculino;61;Ensino fundamental (1º Grau) incompleto;DEM
1501006;Não;Masculino;49;Ensino superior completo ;PMDB
1501105;Não;Masculino;45;Ensino superior incompleto ;PSD
1501204;Não;Masculino;55;Ensino superior completo ;PSDB
1501253;Não;Masculino;34;Ensino médio (2º Grau) completo;PMDB
1501303;Sim;Masculino;63;Ensino fundamental (1º Grau) incompleto;PSC
1501402;Sim;Masculino;56;Ensino superior completo ;PSDB
1501451;Não;Masculino;42;Pós-graduação;DEM
1501501;Sim;Masculino;36;Ensino superior completo ;PMDB
1501576;Não;Masculino;45;Ensino superior incompleto ;PSC
1501600;Sim;Masculino;48;Ensino médio (2º Grau) completo;PR
1501709;Não;Masculino;70;Ensino médio (2º Grau) completo;PSDB
1501725;Não;Masculino;49;Ensino médio (2º Grau) completo;PT
1501758;Sim;Masculino;32;Ensino superior completo ;PDT
1501782;Não;Masculino;40;Ensino superior completo ;PEN
1501808;Não;Masculino;40;Ensino fundamental (1º Grau) completo;PMDB
1501907;Não;Masculino;60;Ensino fundamental (1º Grau) incompleto;PR
1501956;Não;Masculino;36;Ensino médio (2º Grau) completo;PR
1502004;Não;Masculino;58;Ensino superior completo ;PMDB
1502103;Não;Masculino;70;Ensino superior completo ;DEM
1502152;Sim;Masculino;55;Ensino médio (2º Grau) completo;PMDB
1502202;Não;Masculino;61;Ensino superior completo ;DEM
1502301;Não;Masculino;47;Ensino médio (2º Grau) completo;PR
1502400;Não;Masculino;65;Ensino superior completo ;PPS
1502509;Não;Masculino;68;Ensino superior completo ;PSDB
1502608;Não;Masculino;54;Ensino fundamental (1º Grau) completo;PSDB
1502707;Não;Masculino;41;Ensino médio (2º Grau) completo;PMDB
1502756;Não;Masculino;Não informou;Ensino superior incompleto ;PT
1502764;Sim;Feminino;64;Ensino médio (2º Grau) completo;PMDB
1502772;Não;Masculino;36;Ensino superior completo ;DEM
1502806;Não;Feminino;63;Ensino superior completo ;PMDB
1502855;Não;Masculino;68;Ensino fundamental (1º Grau) completo;PMDB
1502905;Não;Masculino;39;Ensino superior incompleto ;DEM
1502939;Não;Masculino;50;Pós-graduação;PDT
1502954;Não;Masculino;38;Ensino médio (2º Grau) completo;PMDB
1503002;Não;Feminino;37;Ensino médio (2º Grau) completo;PMDB
1503044;Não;Masculino;50;Ensino médio (2º Grau) completo;PSDB
1503077;Não;Feminino;51;Ensino médio (2º Grau) completo;PSB
1503093;Não;Masculino;60;Ensino fundamental (1º Grau) incompleto;PMDB
1503101;Não;Feminino;50;Ensino superior completo ;PSDB
1503200;Não;Masculino;39;Ensino superior completo ;SD
1503309;Não;Masculino;46;Ensino médio (2º Grau) completo;PMDB
1503408;Não;Masculino;47;Ensino superior completo ;DEM
1503457;Não;Feminino;32;Ensino superior completo ;PT
1503507;Não;Feminino;27;Ensino superior completo ;DEM
1503606;Não;Masculino;56;Ensino fundamental (1º Grau) incompleto;PMDB
1503705;Não;Masculino;65;Ensino superior completo ;PMDB
1503754;Não;Masculino;54;Ensino médio (2º Grau) completo;PSC
1503804;Não;Masculino;63;Ensino médio (2º Grau) completo;PMDB
1503903;Não;Masculino;57;Ensino médio (2º Grau) completo;PT
1504000;Não;Masculino;46;Pós-graduação;PT
1504059;Não;Masculino;54;Ensino médio (2º Grau) incompleto;PSDB
1504109;Sim;Masculino;50;Ensino médio (2º Grau) completo;PMDB
1504208;Não;Masculino;59;Ensino superior incompleto ;PTB
1504307;Sim;Feminino;62;Ensino superior completo ;PSDB
1504406;Não;Masculino;56;Ensino superior completo ;DEM
1504422;Sim;Masculino;42;Ensino superior completo ;PSD
1504455;Não;Masculino;49;Ensino fundamental (1º Grau) completo;PTN
1504505;Não;Masculino;31;Ensino médio (2º Grau) completo;PSDB
1504604;Não;Feminino;51;Ensino superior completo ;PMDB
1504703;Sim;Masculino;52;Ensino superior completo ;PSDB
1504752;Sim;Masculino;49;Ensino superior incompleto ;PSDB
1504802;Não;Masculino;61;Ensino superior incompleto ;PMDB
1504901;Sim;Masculino;45;Ensino superior completo ;PR
1504950;Não;Masculino;28;Ensino médio (2º Grau) completo;PR
1504976;Não;Feminino;42;Ensino superior completo ;PMDB
1505007;Não;Feminino;49;Ensino médio (2º Grau) completo;PMDB
1505031;Sim;Masculino;42;Ensino médio (2º Grau) completo;PSC
1505064;Não;Masculino;43;Ensino médio (2º Grau) completo;PMDB
1505106;Não;Masculino;56;Ensino superior completo ;PR
1505205;Não;Masculino;52;Ensino médio (2º Grau) completo;PMDB
1505304;Não;Masculino;66;Ensino médio (2º Grau) incompleto;PR
1505403;Sim;Masculino;50;Ensino superior completo ;DEM
1505437;Não;Masculino;60;Ensino superior completo ;PSD
1505486;Não;Masculino;50;Ensino médio (2º Grau) completo;PMDB
1505494;Não;Masculino;41;Ensino médio (2º Grau) completo;PSDB
1505502;Sim;Masculino;52;Ensino médio (2º Grau) completo;PSDB
1505536;Não;Masculino;43;Ensino superior completo ;PMDB
1505551;Não;Masculino;38;Ensino superior completo ;PSDB
1505601;Sim;Masculino;51;Ensino médio (2º Grau) completo;PMDB
1505635;Sim;Masculino;34;Ensino superior completo ;PMDB
1505650;Não;Feminino;39;Ensino superior completo ;PSDB
1505700;Não;Masculino;60;Ensino superior incompleto ;PMDB
1505809;Não;Masculino;62;Ensino médio (2º Grau) incompleto;PSC
1505908;Não;Masculino;38;Ensino superior incompleto ;PTB
1506005;Não;Masculino;44;Ensino médio (2º Grau) incompleto;PMDB
1506104;Não;Feminino;37;Ensino superior incompleto ;PMDB
1506112;Não;Masculino;43;Ensino superior completo ;DEM
1506138;Sim;Masculino;55;Ensino médio (2º Grau) completo;PMDB
1506161;Não;Masculino;36;Ensino médio (2º Grau) incompleto;PSDB
1506187;Não;Masculino;49;Ensino superior completo ;PSDB
1506195;Não;Masculino;46;Ensino médio (2º Grau) completo;PMDB
1506203;Sim;Masculino;31;Ensino superior completo ;PSDB
1506302;Sim;Masculino;50;Ensino superior completo ;PSDB
1506351;Não;Masculino;48;Pós-graduação;PSDB
1506401;Não;Masculino;54;Ensino médio (2º Grau) completo;PT
1506500;Não;Masculino;46;Ensino superior completo ;DEM
1506559;Não;Masculino;57;Ensino superior completo ;PMDB
1506583;Sim;Masculino;54;Ensino médio (2º Grau) incompleto;PMDB
1506609;Não;Feminino;38;Ensino médio (2º Grau) completo;PR
1506708;Não;Masculino;54;Ensino fundamental (1º Grau) completo;PPS
1506807;Não;Masculino;48;Pós-graduação;DEM
1506906;Não;Masculino;56;Ensino médio (2º Grau) incompleto;SD
1507003;Não;Masculino;49;Ensino superior completo ;PMDB
1507102;Sim;Masculino;56;Ensino médio (2º Grau) incompleto;PSDB
1507151;Sim;Masculino;54;Ensino médio (2º Grau) incompleto;PPS
1507201;Não;Masculino;42;Ensino fundamental (1º Grau) completo;PP
1507300;Não;Feminino;60;Ensino médio (2º Grau) completo;PDT
1507409;Não;Masculino;31;Ensino superior completo ;PSD
1507458;Não;Masculino;41;Ensino superior completo ;PSDB
1507466;Não;Masculino;51;Ensino fundamental (1º Grau) completo;PSDB
1507474;Sim;Masculino;48;Ensino médio (2º Grau) completo;PDT
1507508;Sim;Masculino;56;Ensino fundamental (1º Grau) completo;PTB
1507607;Não;Masculino;40;Ensino superior incompleto ;PSDB
1507706;Não;Masculino;48;Ensino superior completo ;PSDB
