CodMun;Reeleito;sexo;idade;instrução;partido
2612109;Não;Masculino;53;Ensino superior completo ;PMDB
2612208;Não;Masculino;54;Ensino fundamental (1º Grau) completo;PMDB
2612307;Sim;Masculino;50;Ensino superior completo ;PMDB
2612406;Não;Masculino;40;Ensino superior completo ;PSB
2612455;Não;Feminino;42;Ensino médio (2º Grau) completo;PR
2612471;Sim;Masculino;28;Ensino superior completo ;PTB
2612505;Sim;Masculino;43;Ensino superior completo ;PSDB
2612554;Não;Masculino;46;Ensino superior completo ;PMN
2612604;Não;Masculino;46;Ensino superior completo ;PTB
2612703;Sim;Masculino;37;Ensino superior completo ;PSB
2612802;Não;Masculino;47;Ensino médio (2º Grau) completo;PR
2612901;Não;Masculino;34;Ensino superior completo ;PR
2613008;Sim;Feminino;38;Pós-graduação;PSB
2613107;Não;Masculino;72;Ensino superior completo ;PSDB
2613206;Sim;Masculino;45;Ensino superior incompleto ;PSD
2613305;Sim;Masculino;36;Ensino superior completo ;PSDB
2613404;Não;Masculino;46;Ensino médio (2º Grau) completo;PEN
2613503;Não;Masculino;49;Ensino médio (2º Grau) completo;PHS
2613602;Não;Masculino;65;Ensino médio (2º Grau) completo;PSB
2613701;Não;Masculino;34;Ensino superior completo ;PTB
2613800;Sim;Masculino;48;Ensino médio (2º Grau) completo;PSB
2613909;Sim;Masculino;57;Ensino superior incompleto ;PT
2614006;Não;Masculino;49;Ensino superior completo ;PSD
2614105;Não;Masculino;67;Ensino superior completo ;PSB
2614204;Sim;Masculino;46;Ensino médio (2º Grau) completo;PSB
2614303;Não;Masculino;54;Ensino médio (2º Grau) completo;PMDB
2614402;Não;Masculino;55;Ensino superior completo ;PSB
2614501;Não;Feminino;57;Ensino superior completo ;PSB
2614600;Sim;Masculino;66;Ensino superior completo ;PTB
2614709;Não;Masculino;39;Ensino médio (2º Grau) completo;PT
2614808;Sim;Feminino;51;Ensino médio (2º Grau) completo;PSB
2614857;Não;Masculino;28;Ensino superior incompleto ;PSB
2615003;Não;Masculino;48;Ensino superior completo ;PR
2615102;Não;Masculino;24;Ensino médio (2º Grau) completo;PSB
2615201;Não;Feminino;39;Ensino superior completo ;PR
2615300;Não;Masculino;56;Ensino superior incompleto ;PSDB
2615409;Não;Masculino;47;Ensino superior incompleto ;PMDB
2615508;Sim;Masculino;48;Ensino médio (2º Grau) completo;PR
2615607;Sim;Masculino;54;Pós-graduação;PSB
2615706;Não;Masculino;50;Pós-graduação;PR
2615805;Não;Masculino;46;Ensino fundamental (1º Grau) completo;PP
2615904;Não;Masculino;60;Ensino superior completo ;PTB
2616001;Não;Masculino;54;Ensino superior completo ;PR
2616100;Não;Masculino;51;Ensino superior completo ;PSB
2616183;Não;Masculino;55;Ensino médio (2º Grau) completo;PMDB
2616209;Não;Masculino;61;Ensino superior completo ;PSDB
2616308;Não;Masculino;35;Ensino superior completo ;PSDB
2616407;Não;Masculino;55;Ensino superior completo ;PSB
2616506;Sim;Masculino;67;Ensino superior incompleto ;PSB
2700102;Não;Masculino;54;Ensino médio (2º Grau) completo;PSDB
2700201;Não;Masculino;50;Ensino médio (2º Grau) completo;PDT
2700300;Não;Masculino;60;Ensino superior completo ;PSDB
2700409;Não;Masculino;60;Ensino superior incompleto ;PMDB
2700508;Não;Feminino;40;Ensino superior incompleto ;PSDB
2700607;Sim;Masculino;28;Ensino superior completo ;PSB
2700706;Não;Feminino;37;Ensino superior completo ;PMDB
2700805;Não;Feminino;37;Ensino superior completo ;PSDB
2700904;Não;Masculino;34;Ensino superior completo ;PRP
2701001;Sim;Masculino;48;Ensino médio (2º Grau) completo;PMDB
2701100;Não;Masculino;28;Ensino superior completo ;PSDB
2701209;Não;Masculino;33;Ensino superior completo ;PMDB
2701308;Não;Masculino;45;Ensino médio (2º Grau) completo;PMDB
2701357;Não;Masculino;31;Ensino fundamental (1º Grau) completo;PMDB
2701407;Sim;Feminino;42;Ensino superior incompleto ;PSDB
2701506;Não;Masculino;57;Ensino médio (2º Grau) completo;PRB
2701605;Não;Masculino;23;Ensino superior incompleto ;DEM
2701704;Não;Masculino;38;Ensino superior completo ;PMDB
2701803;Não;Masculino;37;Ensino médio (2º Grau) completo;PMDB
2701902;Não;Feminino;57;Ensino médio (2º Grau) completo;PMN
2702009;Sim;Masculino;33;Ensino médio (2º Grau) completo;PMDB
2702108;Não;Masculino;55;Ensino fundamental (1º Grau) completo;PSDB
2702207;Não;Feminino;67;Pós-graduação;PMDB
2702306;Sim;Masculino;59;Pós-graduação;PMDB
2702355;Não;Masculino;46;Ensino médio (2º Grau) completo;PMDB
2702405;Não;Masculino;56;Ensino superior completo ;PSD
2702504;Não;Masculino;31;Ensino superior completo ;PRP
2702553;Sim;Masculino;33;Ensino superior completo ;PP
2702603;Não;Masculino;39;Ensino superior completo ;PSDB
2702702;Não;Feminino;54;Pós-graduação;PMDB
2702801;Não;Feminino;83;Ensino médio (2º Grau) completo;PP
2702900;Não;Masculino;34;Ensino superior completo ;PTB
2703007;Sim;Masculino;50;Ensino superior completo ;PT do B
2703106;Sim;Masculino;45;Pós-graduação;PMDB
2703205;Não;Feminino;68;Ensino superior completo ;PMDB
2703304;Sim;Masculino;47;Ensino médio (2º Grau) completo;PT
2703403;Não;Masculino;48;Ensino superior completo ;PSB
2703502;Sim;Masculino;44;Ensino médio (2º Grau) completo;PDT
2703601;Não;Masculino;34;Ensino superior completo ;PMDB
2703700;Não;Masculino;44;Ensino superior completo ;PSB
2703759;Não;Feminino;32;Ensino superior incompleto ;PRB
2703809;Não;Masculino;54;Ensino médio (2º Grau) completo;PSB
2703908;Sim;Masculino;43;Ensino médio (2º Grau) completo;PMDB
2704005;Não;Masculino;51;Ensino superior completo ;PMDB
2704104;Não;Feminino;41;Pós-graduação;PP
2704203;Não;Masculino;40;Ensino médio (2º Grau) completo;PP
2704302;Sim;Masculino;40;Ensino superior completo ;PSDB
2704401;Sim;Feminino;49;Ensino superior incompleto ;PMDB
2704500;Não;Masculino;60;Ensino superior completo ;PP
2704609;Não;Feminino;54;Ensino superior completo ;PMDB
2704708;Não;Masculino;34;Ensino superior incompleto ;PSD
2704807;Não;Masculino;45;Ensino médio (2º Grau) completo;PRB
2704906;Sim;Feminino;42;Pós-graduação;PMDB
2705002;Não;Masculino;57;Ensino médio (2º Grau) completo;PP
2705101;Não;Masculino;29;Ensino superior completo ;PSD
2705200;Sim;Masculino;52;Ensino superior completo ;PSDB
2705309;Não;Masculino;37;Ensino médio (2º Grau) completo;PMDB
2705408;Não;Masculino;48;Ensino superior incompleto ;PR
2705507;Não;Masculino;30;Ensino superior completo ;PMDB
2705606;Não;Feminino;51;Ensino médio (2º Grau) completo;PSDB
2705705;Não;Masculino;53;Ensino médio (2º Grau) completo;PR
2705804;Não;Masculino;54;Ensino médio (2º Grau) completo;PT
2705903;Não;Masculino;45;Ensino superior completo ;PSDB
2706000;Sim;Masculino;56;Ensino fundamental (1º Grau) incompleto;PSD
2706109;Não;Masculino;30;Ensino médio (2º Grau) completo;PMDB
2706208;Sim;Feminino;36;Ensino superior completo ;PSD
2706307;Não;Masculino;45;Pós-graduação;PSB
2706406;Não;Masculino;51;Pós-graduação;PMDB
2706422;Sim;Masculino;47;Ensino superior completo ;PP
2706448;Não;Masculino;43;Ensino médio (2º Grau) completo;PSDB
2706505;Não;Feminino;43;Ensino médio (2º Grau) completo;PSD
2706604;Não;Masculino;54;Ensino superior completo ;PMDB
2706703;Sim;Masculino;47;Ensino superior completo ;PDT
2706802;Não;Masculino;57;Ensino superior completo ;PRB
2706901;Não;Masculino;33;Pós-graduação;PSDB
2707008;Sim;Masculino;55;Ensino superior completo ;PSB
2707107;Não;Feminino;57;Ensino superior completo ;PP
2707206;Sim;Feminino;66;Ensino médio (2º Grau) completo;PMDB
2707305;Não;Masculino;32;Ensino médio (2º Grau) completo;PMDB
2707404;Não;Masculino;47;Ensino superior completo ;PSDB
2707503;Não;Masculino;55;Ensino fundamental (1º Grau) incompleto;PSDB
2707602;Sim;Masculino;57;Ensino superior completo ;PMDB
2707701;Não;Masculino;54;Ensino superior completo ;PP
2707800;Sim;Masculino;50;Ensino superior completo ;PDT
2707909;Não;Masculino;44;Ensino superior completo ;PRB
2708006;Não;Masculino;75;Ensino superior completo ;PMDB
2708105;Não;Masculino;26;Ensino superior incompleto ;PMDB
2708204;Não;Masculino;47;Ensino superior completo ;PMDB
2708303;Sim;Masculino;32;Ensino superior completo ;PMDB
2708402;Não;Masculino;51;Ensino superior incompleto ;PSB
2708501;Não;Feminino;31;Ensino superior completo ;PMDB
2708600;Não;Masculino;49;Ensino superior completo ;DEM
2708709;Não;Masculino;45;Ensino médio (2º Grau) completo;PSD
2708808;Não;Masculino;69;Pós-graduação;PP
2708907;Sim;Masculino;54;Ensino médio (2º Grau) completo;PMDB
2708956;Não;Feminino;38;Ensino superior completo ;PMDB
2709004;Não;Masculino;36;Ensino médio (2º Grau) completo;PSD
2709103;Sim;Masculino;49;Ensino médio (2º Grau) completo;PP
2709152;Não;Masculino;40;Ensino médio (2º Grau) completo;PSDB
2709202;Não;Masculino;62;Pós-graduação;PSDB
2709301;Não;Masculino;52;Ensino superior completo ;PMDB
2709400;Não;Masculino;48;Ensino superior completo ;PDT
2800100;Não;Masculino;44;Ensino médio (2º Grau) completo;PR
2800209;Não;Masculino;29;Ensino superior completo ;PRB
2800308;Não;Masculino;56;Ensino superior incompleto ;PC do B
2800407;Não;Masculino;58;Ensino médio (2º Grau) completo;PSB
2800506;Não;Masculino;28;Ensino superior completo ;PSC
2800605;Sim;Masculino;55;Ensino médio (2º Grau) completo;PMDB
2800670;Não;Masculino;45;Ensino fundamental (1º Grau) incompleto;SD
2800704;Não;Masculino;26;Ensino superior incompleto ;PSB
2801009;Não;Masculino;29;Ensino superior completo ;PSDB
2801108;Não;Masculino;75;Ensino médio (2º Grau) completo;PSD
2801207;Não;Masculino;52;Ensino médio (2º Grau) completo;PP
2801306;Não;Feminino;38;Ensino superior completo ;PTN
2801405;Não;Masculino;61;Ensino médio (2º Grau) incompleto;PSC
2801504;Não;Masculino;75;Ensino superior incompleto ;DEM
2801603;Sim;Masculino;46;Ensino superior incompleto ;DEM
2801702;Não;Masculino;57;Ensino fundamental (1º Grau) completo;PDT
2801900;Sim;Masculino;38;Ensino superior completo ;PSD
2802007;Sim;Masculino;45;Pós-graduação;SD
2802106;Não;Masculino;55;Pós-graduação;PTC
2802205;Não;Masculino;35;Ensino médio (2º Grau) completo;PSDB
2802304;Não;Masculino;44;Ensino superior incompleto ;PMDB
2802403;Não;Feminino;51;Ensino superior completo ;PSC
2802502;Não;Masculino;58;Ensino médio (2º Grau) completo;PSD
2802601;Sim;Masculino;38;Ensino médio (2º Grau) completo;PSB
2802700;Sim;Masculino;38;Ensino superior completo ;PSC
2802809;Não;Masculino;42;Ensino médio (2º Grau) completo;PMDB
2802908;Sim;Masculino;48;Ensino superior completo ;PR
2803005;Não;Masculino;34;Ensino superior incompleto ;PMDB
2803104;Não;Masculino;38;Ensino médio (2º Grau) completo;PSD
2803203;Não;Masculino;56;Ensino superior completo ;PSDB
2803302;Não;Feminino;44;Ensino superior completo ;PSC
2803401;Não;Masculino;51;Ensino superior completo ;PTN
2803500;Não;Masculino;54;Ensino superior completo ;PSC
2803609;Não;Masculino;62;Ensino médio (2º Grau) incompleto;DEM
2803708;Não;Masculino;51;Ensino superior completo ;PT
2803807;Não;Masculino;47;Ensino fundamental (1º Grau) incompleto;PSC
2803906;Sim;Feminino;38;Ensino superior completo ;PSB
2804003;Sim;Masculino;54;Ensino médio (2º Grau) completo;PMDB
2804102;Sim;Masculino;53;Ensino médio (2º Grau) completo;PMDB
2804201;Não;Feminino;54;Ensino médio (2º Grau) completo;PRB
2804300;Sim;Masculino;30;Ensino superior completo ;PSDB
2804409;Não;Masculino;63;Ensino superior completo ;PR
2804458;Sim;Feminino;46;Pós-graduação;PMDB
2804508;Sim;Masculino;54;Ensino superior completo ;PT
2804607;Não;Masculino;29;Ensino superior completo ;PMDB
2804706;Sim;Masculino;42;Ensino superior completo ;PSD
2804805;Não;Masculino;47;Ensino superior completo ;PC do B
2804904;Sim;Masculino;51;Ensino superior incompleto ;PSC
2805000;Sim;Masculino;37;Pós-graduação;DEM
2805109;Não;Feminino;37;Ensino superior completo ;PDT
2805208;Não;Feminino;39;Ensino médio (2º Grau) completo;PMDB
2805307;Sim;Masculino;70;Ensino superior completo ;PMDB
2805406;Não;Masculino;46;Ensino superior completo ;PRB
2805505;Não;Masculino;30;Ensino superior incompleto ;PSC
2805604;Não;Masculino;29;Ensino superior incompleto ;PR
2805703;Não;Masculino;65;Ensino médio (2º Grau) completo;PSB
2805802;Não;Feminino;49;Ensino superior incompleto ;PT do B
2805901;Sim;Feminino;55;Pós-graduação;PMDB
2806008;Não;Masculino;65;Ensino superior completo ;DEM
2806107;Não;Masculino;57;Ensino superior completo ;DEM
2806206;Sim;Masculino;36;Ensino superior incompleto ;PSB
2806305;Sim;Masculino;48;Ensino superior completo ;PMDB
2806404;Não;Masculino;43;Ensino superior completo ;PSC
2806503;Não;Masculino;30;Pós-graduação;PSD
2806602;Não;Masculino;46;Ensino médio (2º Grau) completo;PSB
2806701;Não;Masculino;58;Pós-graduação;PMDB
2806800;Sim;Masculino;47;Pós-graduação;PT
2806909;Não;Feminino;61;Ensino superior completo ;PSB
2807006;Não;Masculino;28;Ensino médio (2º Grau) completo;PSDB
2807105;Sim;Masculino;46;Ensino médio (2º Grau) completo;PSC
2807204;Não;Masculino;64;Ensino fundamental (1º Grau) incompleto;PSB
2807303;Não;Masculino;35;Ensino superior completo ;PMDB
2807402;Não;Masculino;62;Ensino superior incompleto ;PMDB
2807501;Não;Masculino;57;Ensino médio (2º Grau) completo;SD
2807600;Não;Masculino;42;Ensino médio (2º Grau) completo;PMDB
2900108;Não;Masculino;52;Ensino superior completo ;PTB
2900207;Não;Masculino;48;Ensino fundamental (1º Grau) incompleto;PT
2900306;Não;Masculino;34;Pós-graduação;PMDB
2900355;Não;Masculino;33;Ensino médio (2º Grau) completo;PSL
2900405;Não;Masculino;59;Ensino fundamental (1º Grau) incompleto;DEM
2900504;Não;Masculino;46;Pós-graduação;PSD
2900603;Não;Masculino;53;Ensino médio (2º Grau) completo;PP
2900702;Não;Masculino;55;Pós-graduação;DEM
2900801;Não;Masculino;44;Ensino médio (2º Grau) completo;PSD
2900900;Não;Masculino;68;Ensino médio (2º Grau) completo;PTN
2901007;Não;Masculino;35;Ensino superior completo ;PT
2901106;Não;Masculino;66;Ensino superior completo ;PRB
2901155;Não;Feminino;58;Ensino superior incompleto ;PSD
2901205;Não;Feminino;42;Ensino superior completo ;PDT
2901304;Não;Masculino;49;Ensino superior completo ;PSD
2901353;Não;Masculino;45;Ensino superior incompleto ;PP
2901403;Não;Masculino;57;Ensino médio (2º Grau) completo;DEM
2901502;Não;Masculino;44;Ensino superior incompleto ;PT
2901601;Não;Masculino;69;Ensino superior completo ;PSL
2901700;Não;Masculino;60;Ensino superior completo ;PT
2901809;Não;Feminino;53;Ensino superior completo ;PMDB
2901908;Não;Feminino;57;Ensino fundamental (1º Grau) incompleto;DEM
2901957;Não;Masculino;48;Ensino superior completo ;PP
2902005;Sim;Masculino;46;Ensino médio (2º Grau) incompleto;PSD
2902054;Sim;Feminino;59;Ensino superior completo ;PT
2902104;Sim;Masculino;35;Ensino superior completo ;PDT
2902203;Não;Masculino;35;Pós-graduação;PMDB
2902252;Não;Feminino;37;Ensino superior incompleto ;PP
2902302;Não;Masculino;48;Ensino superior completo ;PMDB
2902401;Sim;Feminino;44;Ensino médio (2º Grau) incompleto;PP
2902500;Não;Feminino;54;Ensino superior incompleto ;PSD
2902609;Sim;Masculino;70;Ensino superior completo ;PMDB
2902658;Não;Feminino;47;Ensino médio (2º Grau) completo;PT
2902708;Não;Masculino;72;Ensino médio (2º Grau) completo;PSDB
2902807;Não;Masculino;41;Ensino superior completo ;PTB
2902906;Não;Masculino;46;Ensino superior completo ;PSDB
2903003;Sim;Masculino;54;Ensino superior completo ;PMDB
2903102;Não;Masculino;49;Pós-graduação;PSB
2903201;Não;Masculino;57;Ensino superior completo ;DEM
2903235;Não;Masculino;52;Ensino superior completo ;PMDB
2903276;Não;Masculino;42;Ensino médio (2º Grau) completo;PMDB
2903300;Não;Feminino;49;Ensino médio (2º Grau) completo;PMDB
2903409;Não;Masculino;Não informou;Ensino superior completo ;PTN
2903508;Não;Masculino;36;Ensino superior completo ;PSD
2903607;Não;Masculino;54;Ensino médio (2º Grau) completo;PDT
2903706;Não;Masculino;61;Ensino médio (2º Grau) completo;DEM
2903805;Não;Masculino;62;Ensino superior incompleto ;PSDB
2903904;Sim;Masculino;41;Ensino superior incompleto ;PSD
2903953;Não;Masculino;50;Ensino fundamental (1º Grau) incompleto;PSD
2904001;Não;Masculino;54;Ensino médio (2º Grau) incompleto;PTB
2904050;Não;Masculino;39;Ensino médio (2º Grau) completo;PSD
2904100;Não;Masculino;38;Pós-graduação;PSB
2904209;Sim;Masculino;55;Ensino médio (2º Grau) completo;DEM
2904308;Não;Masculino;33;Pós-graduação;REDE
2904407;Sim;Masculino;43;Ensino médio (2º Grau) completo;PR
2904506;Não;Masculino;48;Ensino superior completo ;PT
2904605;Não;Masculino;70;Pós-graduação;PSB
2904704;Não;Masculino;31;Ensino superior completo ;PSDB
2904753;Não;Masculino;42;Ensino médio (2º Grau) completo;PP
2904803;Não;Feminino;47;Ensino médio (2º Grau) completo;PR
2904852;Não;Masculino;50;Ensino fundamental (1º Grau) incompleto;PTB
2904902;Não;Masculino;46;Ensino médio (2º Grau) completo;PSDB
2905008;Sim;Masculino;54;Ensino superior completo ;DEM
2905107;Não;Masculino;51;Ensino médio (2º Grau) completo;PMDB
2905156;Não;Masculino;40;Ensino superior incompleto ;PC do B
2905206;Não;Masculino;45;Ensino superior completo ;PSB
2905305;Não;Feminino;51;Ensino superior incompleto ;PR
2905404;Sim;Masculino;52;Ensino superior incompleto ;PSD
2905503;Não;Masculino;51;Ensino médio (2º Grau) completo;PDT
2905602;Não;Masculino;45;Ensino médio (2º Grau) completo;PSD
2905701;Não;Masculino;45;Ensino médio (2º Grau) completo;DEM
2905800;Não;Feminino;45;Pós-graduação;PT
2905909;Não;Masculino;56;Ensino superior completo ;PC do B
2906006;Não;Feminino;50;Ensino superior incompleto ;PSD
2906105;Não;Feminino;56;Ensino superior completo ;PR
2906204;Não;Masculino;62;Ensino superior completo ;PR
2906303;Não;Masculino;58;Ensino superior completo ;PPS
2906402;Não;Masculino;70;Ensino superior completo ;DEM
2906501;Sim;Masculino;37;Pós-graduação;PP
2906600;Não;Masculino;27;Ensino superior completo ;PSD
2906709;Não;Feminino;47;Ensino médio (2º Grau) completo;PRP
2906808;Sim;Masculino;31;Ensino superior completo ;PR
2906824;Sim;Masculino;44;Ensino médio (2º Grau) completo;PSD
2906857;Não;Masculino;46;Ensino superior completo ;PC do B
2906873;Não;Feminino;64;Ensino superior completo ;PSD
2906899;Não;Masculino;32;Ensino superior completo ;PSD
2906907;Não;Masculino;54;Ensino superior completo ;PMDB
2907004;Não;Feminino;36;Ensino superior completo ;PTN
2907103;Não;Masculino;66;Ensino médio (2º Grau) completo;PDT
2907202;Não;Masculino;38;Ensino superior incompleto ;PSB
2907301;Não;Masculino;36;Ensino superior completo ;PSDB
2907400;Sim;Masculino;49;Ensino médio (2º Grau) completo;PT
2907509;Sim;Masculino;64;Ensino superior completo ;PT
2907558;Não;Masculino;39;Ensino superior completo ;PSD
2907608;Sim;Masculino;63;Ensino médio (2º Grau) completo;PSD
2907707;Não;Masculino;51;Ensino superior incompleto ;PP
2907806;Não;Masculino;36;Ensino superior completo ;PP
2907905;Não;Masculino;34;Ensino superior completo ;PT
2908002;Não;Masculino;34;Pós-graduação;DEM
2908101;Não;Masculino;47;Ensino superior completo ;PR
2908200;Sim;Masculino;55;Ensino médio (2º Grau) completo;PSD
2908309;Não;Masculino;44;Ensino médio (2º Grau) incompleto;PSD
2908408;Sim;Masculino;52;Ensino superior completo ;PT
2908507;Sim;Feminino;59;Pós-graduação;PRB
2908606;Não;Masculino;46;Ensino superior completo ;PMDB
2908705;Não;Masculino;40;Ensino médio (2º Grau) completo;PMDB
2908804;Sim;Masculino;51;Ensino médio (2º Grau) completo;PR
2908903;Sim;Masculino;50;Ensino superior completo ;PT
2909000;Não;Masculino;41;Ensino superior completo ;PSD
2909109;Sim;Masculino;34;Ensino superior completo ;PR
2909208;Não;Masculino;40;Ensino superior incompleto ;PMDB
2909307;Não;Masculino;50;Ensino superior completo ;PC do B
2909406;Não;Feminino;39;Pós-graduação;PP
2909505;Não;Feminino;62;Pós-graduação;PSD
2909604;Sim;Masculino;63;Ensino fundamental (1º Grau) incompleto;PSC
2909703;Não;Masculino;49;Ensino médio (2º Grau) completo;PSD
2909802;Não;Masculino;57;Pós-graduação;PT
2909901;Não;Masculino;43;Pós-graduação;PSC
2910008;Não;Masculino;35;Ensino médio (2º Grau) completo;PSDB
2910057;Sim;Feminino;61;Ensino médio (2º Grau) completo;PT
2910107;Não;Masculino;51;Pós-graduação;PR
2910206;Não;Masculino;39;Ensino superior completo ;PT
2910305;Não;Masculino;44;Ensino médio (2º Grau) completo;PSD
2910404;Não;Masculino;36;Ensino superior completo ;PMDB
2910503;Sim;Masculino;52;Ensino médio (2º Grau) completo;PDT
2910602;Não;Masculino;54;Ensino médio (2º Grau) completo;PRB
2910701;Não;Masculino;33;Ensino superior completo ;PDT
2910727;Não;Masculino;53;Ensino médio (2º Grau) completo;PSD
2910750;Não;Masculino;61;Ensino fundamental (1º Grau) incompleto;PP
2910776;Não;Masculino;36;Ensino médio (2º Grau) completo;PPS
2910800;Sim;Masculino;65;Pós-graduação;DEM
2910859;Não;Masculino;77;Ensino médio (2º Grau) completo;DEM
2910909;Sim;Masculino;49;Ensino médio (2º Grau) completo;PSB
2911006;Não;Feminino;65;Ensino superior completo ;PSB
2911105;Não;Masculino;49;Pós-graduação;PRB
2911204;Não;Masculino;32;Ensino superior incompleto ;PP
2911253;Não;Masculino;55;Ensino médio (2º Grau) completo;PSD
2911303;Não;Masculino;50;Pós-graduação;PDT
2911402;Não;Masculino;36;Pós-graduação;PP
2911501;Não;Masculino;40;Ensino médio (2º Grau) completo;PR
2911600;Não;Masculino;40;Pós-graduação;PP
2911659;Sim;Masculino;41;Ensino superior completo ;PDT
2911709;Não;Masculino;52;Ensino superior completo ;PSB
2911808;Não;Feminino;44;Pós-graduação;PSD
2911857;Sim;Masculino;61;Ensino fundamental (1º Grau) incompleto;PSL
2911907;Não;Masculino;54;Ensino médio (2º Grau) completo;PPS
2912004;Não;Masculino;70;Ensino médio (2º Grau) completo;PSDB
2912103;Não;Masculino;44;Ensino médio (2º Grau) completo;PSDB
2912202;Não;Masculino;45;Ensino médio (2º Grau) completo;PTB
2912301;Não;Masculino;35;Ensino superior completo ;PSD
2912400;Não;Masculino;43;Ensino médio (2º Grau) completo;PSL
2912509;Não;Masculino;43;Ensino fundamental (1º Grau) incompleto;PDT
2912608;Não;Masculino;45;Pós-graduação;PMDB
2912707;Sim;Masculino;48;Ensino superior completo ;PSD
2912806;Não;Masculino;70;Ensino fundamental (1º Grau) completo;PP
2912905;Não;Feminino;42;Ensino superior completo ;PSD
2913002;Sim;Masculino;56;Ensino médio (2º Grau) completo;PT
2913101;Sim;Masculino;37;Ensino médio (2º Grau) completo;PSD
2913200;Sim;Masculino;34;Pós-graduação;PT
2913309;Não;Masculino;65;Ensino médio (2º Grau) completo;PHS
2913408;Não;Masculino;44;Ensino superior completo ;PTN
2913457;Sim;Masculino;39;Ensino superior incompleto ;PSB
2913507;Não;Masculino;46;Ensino superior completo ;PSD
2913606;Não;Masculino;45;Ensino superior completo ;PSD
2913705;Não;Masculino;63;Ensino fundamental (1º Grau) incompleto;PPS
2913804;Não;Feminino;37;Ensino superior completo ;PMDB
2913903;Não;Feminino;65;Ensino médio (2º Grau) completo;PP
2914000;Não;Masculino;53;Ensino superior completo ;DEM
2914109;Não;Masculino;48;Ensino superior completo ;PP
2914208;Não;Masculino;50;Pós-graduação;PSD
2914307;Não;Masculino;49;Ensino médio (2º Grau) incompleto;DEM
2914406;Não;Masculino;59;Ensino fundamental (1º Grau) incompleto;PSD
2914505;Não;Masculino;54;Ensino superior completo ;DEM
2914604;Não;Masculino;50;Ensino superior completo ;PSB
2914653;Não;Masculino;44;Ensino superior incompleto ;PRB
2914703;Não;Masculino;31;Ensino superior completo ;PSB
2914802;Não;Masculino;77;Ensino médio (2º Grau) completo;DEM
2914901;Não;Masculino;58;Ensino superior completo ;PT
2915007;Não;Masculino;43;Ensino médio (2º Grau) incompleto;PT
2915106;Não;Masculino;62;Ensino superior completo ;PPS
2915205;Não;Masculino;70;Ensino superior completo ;DEM
2915304;Não;Feminino;54;Ensino médio (2º Grau) completo;PMDB
2915353;Não;Masculino;42;Ensino médio (2º Grau) completo;PSD
2915403;Não;Masculino;65;Ensino superior completo ;PSDB
2915502;Não;Masculino;39;Ensino superior completo ;PSD
2915601;Não;Masculino;43;Pós-graduação;PSDB
2915700;Não;Feminino;40;Ensino superior completo ;PSL
2915809;Sim;Masculino;53;Ensino superior completo ;PMDB
2915908;Não;Feminino;58;Ensino médio (2º Grau) completo;PSL
2916005;Não;Feminino;60;Ensino superior completo ;PMDB
2916104;Não;Feminino;39;Ensino superior completo ;PDT
2916203;Não;Masculino;57;Ensino médio (2º Grau) completo;PP
2916302;Não;Masculino;49;Ensino médio (2º Grau) incompleto;PP
2916401;Não;Masculino;27;Ensino superior completo ;PMDB
2916500;Não;Masculino;45;Ensino superior incompleto ;PSD
2916609;Não;Masculino;54;Ensino médio (2º Grau) completo;PSB
2916708;Não;Masculino;24;Pós-graduação;PSB
2916807;Não;Masculino;45;Ensino superior completo ;DEM
2916856;Sim;Masculino;44;Ensino superior completo ;PSD
2916906;Não;Feminino;39;Ensino superior completo ;PRB
2917003;Não;Feminino;71;Pós-graduação;PC do B
2917102;Não;Masculino;62;Pós-graduação;PSDB
2917201;Não;Masculino;54;Ensino superior completo ;PTB
2917300;Sim;Masculino;45;Ensino médio (2º Grau) incompleto;PMDB
2917334;Sim;Masculino;43;Ensino superior incompleto ;PSD
2917359;Sim;Masculino;60;Ensino superior completo ;PSDB
2917409;Não;Masculino;52;Ensino superior completo ;PSD
2917508;Não;Masculino;52;Ensino médio (2º Grau) completo;DEM
2917607;Sim;Masculino;39;Ensino superior completo ;PP
2917706;Não;Masculino;41;Ensino médio (2º Grau) completo;PSDB
2917805;Não;Masculino;37;Ensino superior completo ;PSD
2917904;Não;Masculino;42;Ensino médio (2º Grau) completo;PMDB
2918001;Não;Masculino;41;Ensino superior completo ;PSB
2918100;Não;Masculino;56;Ensino médio (2º Grau) completo;PSD
2918209;Não;Masculino;46;Ensino médio (2º Grau) completo;PRP
2918308;Não;Masculino;35;Ensino médio (2º Grau) incompleto;PDT
2918357;Não;Masculino;69;Ensino superior completo ;PT
2918407;Não;Masculino;44;Ensino superior completo ;PC do B
2918456;Sim;Feminino;41;Ensino superior completo ;PSD
2918506;Não;Masculino;51;Ensino superior completo ;PSD
2918555;Não;Masculino;49;Ensino superior completo ;PSD
2918605;Não;Masculino;44;Ensino superior completo ;PMDB
2918704;Não;Masculino;39;Ensino médio (2º Grau) completo;PP
2918753;Não;Masculino;69;Ensino superior completo ;PMDB
2918803;Não;Masculino;38;Ensino superior incompleto ;PSB
2918902;Sim;Masculino;38;Ensino médio (2º Grau) completo;DEM
2919009;Não;Masculino;44;Ensino superior completo ;PSD
2919058;Não;Feminino;47;Pós-graduação;PSD
2919108;Sim;Masculino;40;Ensino superior completo ;PT
